hwd;pronSampa;ipa
ruled;r\ u l d;ɹuld
weingart;w aI N g A r\ t;w?ŋgɑɹt
continuation;k @ n t I n j u eI S @ n;kəntɪnju?ʃən
anas;{ n @ s;ænəs
advisability;{ d v aI z @ b I l i 4 i:;ædv?zəbɪliɾiː
dawsey;d O: s i:;dOːsiː
sawa;s O: w @;sOːwə
loutzenhiser;l aU t z i n h aI z 3:r;l?tzinh?zɜ:r
melucci;m E l u tS i:;mɛlu?iː
cobbins;k A b i n z;kɑbinz
hokum;h @U k @ m;hoʊkəm
castings;k { s t i N z;kæstiŋz
federal(2);f E d r\ @ l;fɛdɹəl
comprises;k @ m p r\ aI z @ z;kəmpɹ?zəz
koenigsfeld;k @U n i g z f E l d;koʊnigzfɛld
vees;v i: z;viːz
transvestite;t r\ { n z v E s t aI t;tɹænzvɛst?t
jacki;dZ { k i:;?ækiː
idiom;I 4 i: @ m;ɪɾiːəm
williamsen;w I l j @ m s @ n;wɪljəmsən
taught;t O: t;tOːt
huyler;h aI l 3:r;h?lɜ:r
lamborn;l @ m b O: r\ n;ləmbOːɹn
ramlawi;r\ { m l aU i:;ɹæml?iː
rosella;r\ @U z E l @;ɹoʊzɛlə
disrepair;d I s r\ i p E r\;dɪsɹipɛɹ
avenger;@ v E n dZ 3:r;əvɛn?ɜ:r
animosity;{ n @ m A s @ 4 i:;ænəmɑsəɾiː
scrimping;s k r\ I m p i N;skɹɪmpiŋ
suppresses;s @ p r\ E s i z;səpɹɛsiz
baffled;b { f @ l d;bæfəld
unring;@ n r\ I N;ənɹɪŋ
phosphor;f A s f O: r\;fɑsfOːɹ
indira;i n d I r\ @;indɪɹə
succumbing;s @ k V m i N;səkʌmiŋ
swoveland;s w @U v l @ n d;swoʊvlənd
faisal;f eI z @ l;f?zəl
honeycomb;h V n i: k @U m;hʌniːkoʊm
looted;l u 4 @ d;luɾəd
deweese;d u i: z;duiːz
elfers;E l f 3:r z;ɛlfɜ:rz
hatch's;h { tS i z;hæ?iz
keswick;k E s w I k;kɛswɪk
waterproof;w O: 4 3:r p r\ u f;wOːɾɜ:rpɹuf
why;w aI;w?
tawney;t O: n i:;tOːniː
nohr;n O: r\;nOːɹ
fiorelli;f i: O: r\ E l i:;fiːOːɹɛliː
meddling(2);m E d l i N;mɛdliŋ
ivana;i v A n @;ivɑnə
azpurua;{ z p j U r\ u @;æzpjʊɹuə
palauans;p @ l aU @ n z;pəl?ənz
tornquist;t O: r\ n k w i s t;tOːɹnkwist
imasco;i m { s @U;imæsoʊ
unbar;@ n b A r\;ənbɑɹ
wiesbaden(2);w aI s b A d @ n;w?sbɑdən
hospitality;h A s p @ t { l @ 4 i:;hɑspətæləɾiː
salaam;s @ l A m;səlɑm
ransack;r\ { n s { k;ɹænsæk
mcbroom;m @ k b r\ u m;məkbɹum
ramifying;r\ { m @ f aI i N;ɹæməf?iŋ
incidents;I n s @ d @ n t s;ɪnsədənts
slechta;s l E tS t @;slɛ?tə
shaka;S A k @;ʃɑkə
ferree;f 3:r i:;fɜ:riː
cabernets;k { b 3:r n E t s;kæbɜ:rnɛts
outcry;aU t k r\ aI;?tkɹ?
spanning;s p { n i N;spæniŋ
willfully;w I l f @ l i:;wɪlfəliː
blanck;b l { N k;blæŋk
clubb;k l V b;klʌb
tenncare;t E n k E r\;tɛnkɛɹ
brumbaugh;b r\ V m b O:;bɹʌmbOː
handkerchiefs;h { N k 3:r tS @ f s;hæŋkɜ:r?əfs
martin(2);m A r\ t i n;mɑɹtin
arakelian;{ r\ @ k E l j @ n;æɹəkɛljən
tallerico;t A l 3:r i: k @U;tɑlɜ:riːkoʊ
stefanie;s t E f @ n i:;stɛfəniː
yeshiva;j i S i: v @;jiʃiːvə
transcribing;t r\ { n s k r\ aI b i N;tɹænskɹ?biŋ
catalyze;k { 4 @ l aI z;kæɾəl?z
philosopher;f @ l A s @ f 3:r;fəlɑsəfɜ:r
standardization;s t { n d 3:r 4 i z eI S @ n;stændɜ:rɾiz?ʃən
dober;d @U b 3:r;doʊbɜ:r
bloodhounds(2);b l V d h aU n z;blʌdh?nz
wheelchair(2);h w i: l tS E r\;hwiːl?ɛɹ
lorenc;l O: r\ i N k;lOːɹiŋk
kalous;k { l @ s;kæləs
gianfrancesco;dZ A n f r\ { n tS E s k @U;?ɑnfɹæn?ɛskoʊ
kohlman;k @U l m @ n;koʊlmən
soo;s u;su
blackledge;b l { k l E dZ;blæklɛ?
adelstein;{ 4 @ l s t aI n;æɾəlst?n
nationsbanc;n eI S @ n z b { N k;n?ʃənzbæŋk
punjab's(2);p V n dZ { b z;pʌn?æbz
vanschoick;v { n S OI k;vænʃ?k
shrank;S r\ { N k;ʃɹæŋk
saltlike;s O: l t l aI k;sOːltl?k
gambler's;g { m b l 3:r z;gæmblɜ:rz
harrington;h E r\ i N t @ n;hɛɹiŋtən
respectful;r\ i s p E k t f @ l;ɹispɛktfəl
blokes;b l @U k s;bloʊks
siphoning;s aI f @ n i N;s?fəniŋ
telephoniques;t E l @ f A n i: k s;tɛləfɑniːks
disapproval;d i s @ p r\ u v @ l;disəpɹuvəl
wichita;w I tS @ t O:;wɪ?ətOː
signor;s i: n j O: r\;siːnjOːɹ
breza;b r\ E z @;bɹɛzə
neeper;n i: p 3:r;niːpɜ:r
levi;l i: v aI;liːv?
furnished;f 3:r n i S t;fɜ:rniʃt
mckenny;m @ k E n i:;məkɛniː
responses(2);r\ i: s p A n s @ z;ɹiːspɑnsəz
injection;i n dZ E k S @ n;in?ɛkʃən
rosenberg's;r\ @U z @ n b 3:r g z;ɹoʊzənbɜ:rgz
architect;A r\ k @ t E k t;ɑɹkətɛkt
washoe;w A S @U;wɑʃoʊ
kachmar;k { k m 3:r;kækmɜ:r
abplanalp;{ b p l @ n { l p;æbplənælp
straightforward;s t r\ eI t f O: r\ w 3:r d;stɹ?tfOːɹwɜ:rd
basalt;b @ s O: l t;bəsOːlt
chinooks(2);S I n U k s;ʃɪnʊks
huckabay;h V k @ b eI;hʌkəb?
cabbages;k { b i dZ i z;kæbi?iz
cottingham;k A 4 i N h { m;kɑɾiŋhæm
hofrichter;h A f r\ i k t 3:r;hɑfɹiktɜ:r
busch's;b U S i z;bʊʃiz
fedrick;f E d r\ i k;fɛdɹik
empowers;i m p aU 3:r z;imp?ɜ:rz
gutterman;g V 4 3:r m @ n;gʌɾɜ:rmən
idiotic;I 4 i: A 4 i k;ɪɾiːɑɾik
kowaleski;k aU @ l E s k i:;k?əlɛskiː
dithyramb;d I T 3:r { m;dɪθɜ:ræm
