nbSyll;pron;origin;warning;remarques;POS;lineId;pageId;motVedette;word;sampa;ipa
3;aʹbăcus;;;;n.;2.0;19;abacus;abacus;{ b @ k @ s;æbəkəs
2;ăbăʹft;;;;p.;3.0;19;sabat;sabat;s A b A t;sɑbɑt
3;ăbaiʹſănce;F.;;;n.;4.0;19;ambiance;ambiance;{ m b i: @ n s;æmbiːəns
3;ābăʹndon;F.;;;v.;5.0;19;abandon;abandon;@ b { n d @ n;əbændən
4;ābăʹndŏned;;;;a.;6.0;19;abandoned;abandoned;@ b { n d @ n d;əbændənd
2;ăbāsʹe;F.;;;v.;7.0;19;ambase;ambase;{ m b eI s;æmb?s
3;ăbāʹſ_e_ment;F.;;;n.;8.0;19;basement;basement;b eI s m @ n t;b?smənt
2;ăbăʹſh;F.;;;v.;9.0;19;abash;abash;@ b { S;əbæʃ
2;ăbāʹte;F.;;;v.;10.0;19;abate;abate;@ b eI t;əb?t
3;ăbāʹt_e_ment;F.;;;n.;11.0;19;abatement;abatement;@ b eI t m @ n t;əb?tmənt
2;ăʹbbĕſs;;;;n.;12.0;19;bess;bess;b E s;bɛs
2;ăʹbbey;;;;n.;13.0;19;abbey;abbey;{ b i:;æbiː
2;ăʹbbŏt;;;;n.;14.0;19;abbot;abbot;{ b @ t;æbət
4;ăbbrĕʹvĭāte;L.;;;v.;15.0;19;abbreviate;abbreviate;@ b r\ i: v i: eI t;əbɹiːviː?t
6;ăbbrevĭāʹtion;L.;;;n.;16.0;19;abbreviation;abbreviation;@ b r\ i: v i: eI S @ n;əbɹiːviː?ʃən
3;ăʹbdicāte;L.;;;v.;17.0;19;abdicate;abdicate;{ b d @ k eI t;æbdək?t
3;ăbdōʹmen;;;;n.;18.0;19;abdomen;abdomen;{ b d @U m @ n;æbdoʊmən
2;ăbĕʹt;;;;v.;19.0;19;abet;abet;@ b E t;əbɛt
3;ăbĕʹtment;;;;n.;20.0;19;bement;bement;b i: m @ n t;biːmənt
3;ăbĕʹttor;;;;n.;21.0;19;bettor;bettor;b E 4 3:r;bɛɾɜ:r
3;ăbeʹyănce;F.;;;n.;22.0;19;abeyance;abeyance;@ b eI @ n s;əb?əns
2;ăbhŏʹr;L.;;;v.;23.0;19;abhor;abhor;{ b h O: r\;æbhOːɹ
3;ăbhŏʹrrence;;;;n.;24.0;19;abhorrence;abhorrence;@ b h O: r\ @ n s;əbhOːɹəns
2;ābīʹde;;;;v.;25.0;19;abide;abide;@ b aI d;əb?d
2;ăʹbject;L.;;;a.;26.0;19;abject;abject;{ b dZ E k t;æb?ɛkt
4;abĭʹlĭty;;;;n.;27.0;19;ability;ability;@ b I l @ 4 i:;əbɪləɾiː
4;ăbĭntĕʹſtāte;;;;n.;28.0;19;interstate;interstate;I n t 3:r s t eI t;ɪntɜ:rst?t
5;ăbjūrāʹtion;L.;;;n.;29.0;19;tabulation;tabulation;t { b j @ l eI S @ n;tæbjəl?ʃən
2;ăbjūʹre;L.;;;v.;30.0;19;majure;majure;m A j U r\ eI;mɑjʊɹ?
4;ăblāʹtion;L.;;;n.;31.0;19;tabulation;tabulation;t { b j @ l eI S @ n;tæbjəl?ʃən
3;ăʹblătive;L.;;;n.;32.0;19;talkative;talkative;t O: k @ 4 i v;tOːkəɾiv
3;ăʹblĕpſy;G.;;;n.;33.0;19;ables;ables;eI b @ l z;?bəlz
4;ăblūʹtion;L.;;;n.;34.0;19;absolution;absolution;{ b s @ l u S @ n;æbsəluʃən
5;ăbnegātion;L.;nbSyll>1 et pas d'accent tonic;;n.;35.0;19;negation;negation;n @ g eI S @ n;nəg?ʃən
2;ăʹboard;;;;p.;36.0;19;aboard;aboard;@ b O: r\ d;əbOːɹd
2;ābōʹde;;;;n.;37.0;19;abode;abode;@ b @U d;əboʊd
3;ăbŏʹlĭſh;L.;;;v.;2.0;20;abolish;abolish;@ b A l i S;əbɑliʃ
4;ăbŏʹmĭnāte;L.;;;v.;3.0;20;abominate;abominate;@ b A m @ n eI t;əbɑmən?t
6;ăbŏʹmĭnāʹtion;L.;;;n.;4.0;20;abomination;abomination;@ b A m @ n eI S @ n;əbɑmən?ʃən
4;ăborīʹgĭnes;L.;;;n.;5.0;20;aborigines;aborigines;{ b 3:r I dZ @ n i: z;æbɜ:rɪ?əniːz
4;ăbŏʹrtion;L.;;;n.;6.0;20;abortion;abortion;@ b O: r\ S @ n;əbOːɹʃən
3;ăbŏʹrtive;;;;a.;7.0;20;abortive;abortive;@ b O: r\ 4 i v;əbOːɹɾiv
2;ăbȯu̇ʹnd;;;;v.;8.0;20;abound;abound;@ b aU n d;əb?nd
2;abrĭʹdge;F.;;;v.;9.0;20;abridge;abridge;@ b r\ I dZ;əbɹɪ?
3;abrĭʹdgment;F.;;;n.;10.0;20;bridget;bridget;b r\ I dZ @ t;bɹɪ?ət
2;abroaʹd;;;;a.;11.0;20;abroad;abroad;@ b r\ O: d;əbɹOːd
3;ăʹbrŏgāte;L.;;;v.;12.0;20;abrogate;abrogate;{ b r\ @ g eI t;æbɹəg?t
2;ăbrŭpt;L.;nbSyll>1 et pas d'accent tonic;;a.;13.0;20;abrupt;abrupt;@ b r\ V p t;əbɹʌpt
2;ăʹbſcĕſs;L.;;;n.;14.0;20;abscess;abscess;{ b s E s;æbsɛs
2;ăbſcŏʹnd;L.;;;v.;15.0;20;second;second;s E k @ n d;sɛkənd
2;ăʹbſĕnt;L.;;;v.;16.0;20;absent;absent;{ b s @ n t;æbsənt
3;ăbſĕnteeʹ;L.;;;n.;17.0;20;absentee;absentee;{ b s @ n t i:;æbsəntiː
2;ăbſŏʹlve;L.;;;v.;18.0;20;absolve;absolve;@ b z A l v;əbzɑlv
3;ăʹbſŏlūte;L.;;;a.;19.0;20;absolute;absolute;{ b s @ l u t;æbsəlut
5;ăbſŏlūʹtion;L.;;;n.;20.0;20;absolution;absolution;{ b s @ l u S @ n;æbsəluʃən
2;ăbſŏʹrb;L.;;;v.;21.0;20;absorb;absorb;@ b z O: r\ b;əbzOːɹb
3;ăbſŏʹrbents;;;;n.;22.0;20;absorbent;absorbent;@ b z O: r\ b @ n t;əbzOːɹbənt
2;ăbſtaiʹn;L.;;;v.;23.0;20;abstain;abstain;@ b s t eI n;əbst?n
4;ăbſtēʹmĭous;L.;;;a.;24.0;20;abstentions;abstentions;@ b s t E n tS @ n z;əbstɛn?ənz
3;ăbſtĕʹrgent;L.;;;n.;25.0;20;sergent;sergent;s 3:r dZ @ n t;sɜ:r?ənt
3;ăʹbſtĭnĕnce;L.;;;n.;26.0;20;abstinence;abstinence;{ b s t @ n @ n s;æbstənəns
2;ăbſtrăʹct;L.;;;v.;27.0;20;abstract;abstract;{ b s t r\ { k t;æbstɹækt
2;ăbſtrūʹſe;L.;;;a.;28.0;20;abstruse;abstruse;@ b s t r\ u s;əbstɹus
2;ăbſŭʹrd;L.;;;a.;29.0;20;absurd;absurd;@ b s 3:r d;əbsɜ:rd
3;abŭʹndănce;;;;n.;30.0;20;abundance;abundance;@ b V n d @ n s;əbʌndəns
2;abūʹſe;L.;;;v.;31.0;20;abuse;abuse;@ b j u s;əbjus
2;ăbyʹſs;G.;;;n.;32.0;20;abyss;abyss;@ b I s;əbɪs
3;ăbyſſīʹnes;;;;n.;33.0;20;bylines;bylines;b aI l i: n z;b?liːnz
4;ăcăʹdĕmy;G.;;;n.;34.0;20;academy;academy;@ k { 4 @ m i:;əkæɾəmiː
5;ăcănāʹce_o_us;G.;;;a.;35.0;20;cancerous;cancerous;k { n s 3:r @ s;kænsɜ:rəs
2;ăccēʹde;L.;;;v.;36.0;20;accede;accede;{ k s i: d;æksiːd
4;ăccĕʹlĕrāte;L.;;;v.;37.0;20;accelerate;accelerate;{ k s E l 3:r eI t;æksɛlɜ:r?t
2;ăcʹcĕnt;L.;;;n.;38.0;20;accent;accent;@ k s E n t;əksɛnt
2;ăccĕʹpt;L.;;;v.;39.0;20;accept;accept;{ k s E p t;æksɛpt
4;ăccĕʹptable;;;;a.;40.0;20;acceptable;acceptable;{ k s E p t @ b @ l;æksɛptəbəl
5;ăccĕptāʹtion;L.;;;n.;41.0;20;accreditation;accreditation;@ k r\ E 4 @ t eI S @ n;əkɹɛɾət?ʃən
2;ăccĕʹſs;L.;;;n.;42.0;20;access;access;{ k s E s;æksɛs
4;ăccĕʹſſĭble;;;;a.;43.0;20;accessible;accessible;{ k s E s @ b @ l;æksɛsəbəl
4;ăccĕʹſſion;L.;;;n.;44.0;20;accession;accession;@ k s E S @ n;əksɛʃən
4;ăʹccĕſſāry;F.;;;n.;45.0;20;accessory;accessory;{ k s E s 3:r i:;æksɛsɜ:riː
3;ăʹccĭdent;L.;;;n.;46.0;20;accident;accident;{ k s @ d @ n t;æksədənt
5;ăcclămāʹtion;L.;;;n.;47.0;20;acclimation;acclimation;{ k l @ m eI S @ n;ækləm?ʃən
3;ăccloʹyed;;;;a.;48.0;20;cloyd;cloyd;k l OI d;kl?d
4;ăccŏʹmmodāte;L.;;;v.;49.0;20;accommodate;accommodate;@ k A m @ d eI t;əkɑməd?t
4;ăccŏʹmpăny;F.;;;v.;50.0;20;accompany;accompany;@ k V m p @ n i:;əkʌmpəniː
3;ăccŏʹmpliſh;F.;;;v.;51.0;20;accomplish;accomplish;@ k A m p l i S;əkɑmpliʃ
4;ăccŏʹmplĭſhed;;;;a.;52.0;20;accomplished;accomplished;@ k A m p l i S t;əkɑmpliʃt
3;ăccŏʹmplice;F.;;;n.;53.0;20;accomplice;accomplice;@ k A m p l @ s;əkɑmpləs
2;ăccoʹmpt;;;;v.;54.0;20;accompli;accompli;A k A m p l i:;ɑkɑmpliː
2;ăccoʹrd;F.;;;v.;55.0;20;accord;accord;@ k O: r\ d;əkOːɹd
2;ăccŏʹſt;F.;;;v.;56.0;20;accost;accost;@ k O: s t;əkOːst
2;ăccȯu̇ʹnt;F.;;;n.;57.0;20;account;account;@ k aU n t;ək?nt
4;ăccȯu̇ʹntable;;;;a.;58.0;20;accountable;accountable;@ k aU n t @ b @ l;ək?ntəbəl
3;ăccȯu̇ʹntănt;;;;n.;59.0;20;accountant;accountant;@ k aU n t @ n t;ək?ntənt
3;ăccȯu̇ʹtre;F.;;;v.;60.0;20;lacouture;lacouture;l { k u tS 3:r;læku?ɜ:r
4;ăccȯu̇ʹtrements;F.;;;n.;61.0;20;accouterments;accouterments;@ k u 4 3:r m @ n t s;əkuɾɜ:rmənts
